Customer_ID,Customer_Name,Email,Phone,Gender,Date_of_Birth,City,State,Country,Join_Date,Loyalty_Status,Created_At,Last_Updated
1003,Ekaraj Bath,bimalabuch@example.org,5255341928,Female,2005-02-28,Ujjain,Manipur,India,2025-01-30,Silver,2026-04-23T10:37:26.000Z,2026-07-27T03:42:26.000Z
1021,Yug Malhotra,rkhare@example.com,5581223623,Male,1959-12-01,Vellore,Karnataka,India,2025-07-25,Gold,2026-01-15T18:57:15.000Z,2026-02-25T20:11:15.000Z
1030,Jonathan Swaminathan,arorabhavani@example.com,0471167190,Female,1965-11-14,Phusro,Jharkhand,India,2023-10-11,Platinum,2026-02-16T14:43:03.000Z,2026-02-25T03:07:03.000Z
1044,Chasmum Rege,deychakradev@example.org,3826758692,Male,1983-10-12,Unnao,Punjab,India,2023-10-25,Platinum,2026-07-08T01:34:30.000Z,2026-10-13T01:18:30.000Z
1088,Bhavini Rege,krishnasalvi@example.com,1825128682,Male,2005-01-28,Delhi,Tripura,India,2023-11-03,Platinum,2025-11-05T08:05:24.000Z,2025-11-10T08:26:24.000Z
1092,Xavier Kumer,gangabrar@example.com,0469901398,Male,1970-04-24,Dhule,West Bengal,India,2025-10-19,Gold,2025-12-10T01:50:06.000Z,2025-12-14T13:27:06.000Z
1108,Tanish Jha,dev91@example.net,7147859696,Male,1995-06-29,Karnal,Kerala,India,2025-05-16,Gold,2026-03-14T00:25:27.000Z,2026-06-22T10:52:27.000Z
1160,Rayaan Nigam,sachdevachakradhar@example.net,8270808697,Male,1990-02-19,Adoni,Goa,India,2025-03-20,Gold,2025-09-03T10:52:46.000Z,2025-10-12T14:29:46.000Z
1195,Qushi Master,abhimanyuprakash@example.org,3266341638,Male,2007-07-28,Anantapuram,Rajasthan,India,2025-07-29,Gold,2025-11-22T08:34:20.000Z,2025-12-24T23:41:20.000Z
1229,Shaurya Nagi,reyanshmangat@example.com,2241098813,Male,1992-06-18,Jamalpur,Karnataka,India,2024-11-15,Platinum,2024-12-02T11:03:44.000Z,2024-12-06T07:41:44.000Z
1238,Lucky Vyas,udyati81@example.net,8949058077,Female,1990-06-07,Chapra,Telangana,India,2025-08-05,Silver,2026-04-30T03:54:03.000Z,2026-06-06T03:13:03.000Z
1250,Ekanta Kala,,2582739021,Female,1998-07-26,Sangli-Miraj & Kupwad,Andhra Pradesh,India,2024-01-22,Platinum,2026-07-04T17:36:23.000Z,2026-09-23T16:32:23.000Z
1256,Urvashi Shere,akshay63@example.org,9290600780,Female,1984-07-06,Nangloi Jat,Uttar Pradesh,India,2025-10-06,Platinum,2026-04-13T23:47:57.000Z,2026-06-08T04:02:57.000Z
1279,Balendra Bali,chavvigala@example.com,7197889778,Male,1966-03-08,Katni,Himachal Pradesh,India,2025-02-22,Gold,2026-01-31T17:50:40.000Z,2026-05-23T04:41:40.000Z
1283,Gayathri Mahajan,walivaishnavi@example.com,8468536649,Female,1990-08-13,Motihari,Goa,India,2023-12-08,Platinum,2026-05-24T04:36:24.000Z,2026-06-08T18:59:24.000Z
1314,Tanish Sehgal,pingleneha@example.net,6776228277,Female,1964-05-07,Rajpur Sonarpur,Manipur,India,2025-05-09,Gold,2025-08-18T00:33:21.000Z,2025-11-05T21:10:21.000Z
1325,Avni Tailor,abhimanyuhayre@example.net,8728399921,Female,1995-07-27,Amritsar,Chhattisgarh,India,2025-08-24,Platinum,2026-01-11T23:23:51.000Z,2026-01-27T12:45:51.000Z
1327,Diya Ahluwalia,vhayer@example.org,3325411076,Male,1957-03-07,Chandrapur,Haryana,India,2024-09-22,Silver,2025-08-14T06:31:28.000Z,2025-08-28T01:03:28.000Z
1342,Dakshesh Pillay,gargeta@example.com,8671632346,Female,2003-11-02,Kozhikode,Punjab,India,2025-10-10,Gold,2025-11-06T04:15:20.000Z,2026-02-10T20:22:20.000Z
1345,Nimrat Seshadri,zayyanjohal@example.net,7656360041,Male,2003-10-19,Khammam,Sikkim,India,2023-12-29,Gold,2026-02-19T13:12:09.000Z,2026-05-06T14:12:09.000Z
1379,Vasudha Memon,tanay09@example.com,7970509754,Female,1979-08-18,Kolkata,Kerala,India,2024-01-18,Silver,2025-04-12T14:23:50.000Z,2025-07-08T09:26:50.000Z
1384,Gavin Behl,hreddy@example.com,7086041454,Female,1979-06-07,Shahjahanpur,Karnataka,India,2025-05-11,Platinum,2025-05-24T17:13:52.000Z,2025-08-09T15:18:52.000Z
1385,Aadi Ben,simon47@example.com,,Female,1980-01-30,Giridih,Mizoram,India,2023-09-30,Silver,2024-07-08T08:11:30.000Z,2024-08-26T05:01:30.000Z
1397,Leena Chacko,kvyas@example.net,0305872105,Male,1980-02-07,Durg,Manipur,India,2025-08-22,Gold,2026-03-16T19:01:17.000Z,2026-06-28T10:58:17.000Z
1405,Praneel Sharma,urvashi47@example.net,0546692758,Male,1998-01-19,Dindigul,Assam,India,2025-01-17,Gold,2025-03-27T07:21:13.000Z,2025-07-18T19:20:13.000Z
1447,Jacob Tara,charanzachariah@example.com,6512418938,Female,1997-02-20,Silchar,Punjab,India,2025-09-29,Gold,2026-01-22T19:40:37.000Z,2026-04-06T00:13:37.000Z
1454,Charles Mody,pallatharv@example.net,0596601864,Female,1991-12-08,Khandwa,Odisha,India,2025-02-27,Platinum,2025-07-20T05:57:52.000Z,2025-09-14T08:48:52.000Z
1479,Upma Bhavsar,muniraghav@example.org,1097921583,Female,1979-01-07,Nellore,Himachal Pradesh,India,2025-04-25,Silver,2025-09-11T05:00:38.000Z,2025-11-06T18:30:38.000Z
1489,Sarthak Oommen,gautam83@example.com,1827279559,Female,1981-04-06,North Dumdum,Tamil Nadu,India,2026-04-17,Silver,2026-07-04T17:33:12.000Z,2026-11-02T06:05:12.000Z
1015,Benjamin Morar,balveer53@example.net,6923226025,Male,1983-07-25,Shimoga,Goa,India,2024-03-05,Gold,2026-01-01T15:36:36.000Z,2026-01-11T23:31:36.000Z
1022,David Jhaveri,xramachandran@example.net,0546688937,Male,1970-06-23,Junagadh,Meghalaya,India,2025-11-07,Platinum,2026-05-06T22:43:45.000Z,2026-06-27T06:47:45.000Z
1025,Jyoti Ganesh,gadedeepa@example.org,6319314919,Female,1958-05-04,Katihar,Maharashtra,India,2025-07-10,Platinum,2026-04-07T15:29:09.000Z,2026-05-10T19:44:09.000Z
1060,Mitesh Gaba,noahsarma@example.org,9473834735,Male,2001-09-14,Surendranagar Dudhrej,Tripura,India,2026-03-05,Silver,2026-03-30T10:43:58.000Z,2026-07-19T13:11:58.000Z
