Store_ID,Store_Name,City,State,Region,Manager,Opening_Date,Created_At,Last_Updated
S019,RetailMart Nagpur,Nagpur,Maharashtra,Central,Michael Dutta,2012-08-20,2013-03-12T23:56:18.888Z,2013-11-25T23:56:18.888Z
S012,RetailMart Kolkata,Kolkata,West Bengal,East,Ladli Madan,2017-12-15,2019-07-27T11:22:34.224Z,2020-05-24T11:22:34.224Z
S024,RetailMart Visakhapatnam,Visakhapatnam,Andhra Pradesh,South,Chanchal Tripathi,2020-09-08,2022-08-24T18:25:11.596Z,2023-07-22T18:25:11.596Z
S009,RetailMart Hyderabad,Hyderabad,Telangana,South,Fariq Kaul,2012-02-04,2014-12-06T16:20:10.435Z,2015-11-17T16:20:10.435Z
S002,RetailMart Delhi,Delhi,Delhi,North,Pahal Balay,2013-03-21,2014-05-19T02:41:32.834Z,2014-07-15T02:41:32.834Z
S006,RetailMart Surat,Surat,Gujarat,West,Aishani Bassi,2016-02-08,2019-02-19T01:08:14.631Z,2019-06-13T01:08:14.631Z
S007,RetailMart Bengaluru,Bengaluru,Karnataka,South,Farhan Memon,2020-04-20,2022-07-30T14:56:26.083Z,2022-10-09T14:56:26.083Z
S017,RetailMart Indore,Indore,Madhya Pradesh,Central,Priya Rastogi,2013-03-21,2021-08-28T16:06:12.886Z,2021-12-17T16:06:12.886Z
S020,RetailMart Raipur,Raipur,Chhattisgarh,Central,Lekha Raj,2021-01-18,2022-07-11T11:13:11.702Z,2023-05-15T11:13:11.702Z
S022,RetailMart Guwahati,Guwahati,Assam,East,Harini Choudhury,2019-09-22,2022-04-25T01:47:06.722Z,2023-02-06T01:47:06.722Z
S021,RetailMart Chandigarh,Chandigarh,Chandigarh,North,Advay Contractor,2018-09-11,2021-06-07T15:10:01.710Z,2021-06-20T15:10:01.710Z
S003,RetailMart Mumbai,Mumbai,Maharashtra,West,Rushil Saini,2011-11-26,2014-08-31T20:40:23.862Z,2014-09-12T20:40:23.862Z
S013,RetailMart Bhubaneswar,Bhubaneswar,Odisha,East,Ekta Bhalla,2023-06-03,2024-02-21T14:23:29.054Z,2024-09-24T14:23:29.054Z
S015,RetailMart Lucknow,Lucknow,Uttar Pradesh,North,Unknown,2012-05-04,2023-06-27T13:25:37.847Z,2023-07-12T13:25:37.847Z
S011,RetailMart Kochi,Kochi,Kerala,South,Ekbal Garg,2015-12-27,2017-10-12T02:27:11.114Z,2017-11-25T02:27:11.114Z
S018,RetailMart Bhopal,Bhopal,Madhya Pradesh,Central,Yashodhara Tak,2015-11-21,2024-07-10T09:59:34.026Z,2024-11-06T09:59:34.026Z
S023,RetailMart Ranchi,Ranchi,Jharkhand,East,Adya Tella,2015-01-25,2016-07-25T16:19:52.565Z,2016-11-03T16:19:52.565Z
S008,RetailMart Mysuru,Mysuru,Karnataka,South,Rehaan Boase,2021-07-01,2023-05-20T22:52:57.095Z,2023-07-11T22:52:57.095Z
S014,RetailMart Patna,Patna,Bihar,East,Unknown,2014-04-17,2014-08-15T05:50:37.374Z,2014-08-31T05:50:37.374Z
S010,RetailMart Chennai,Chennai,Tamil Nadu,South,Janya Gaba,2021-12-10,2022-12-06T19:58:47.695Z,2023-09-11T19:58:47.695Z
S004,RetailMart Pune,Pune,Maharashtra,West,Nathaniel Sami,2014-03-11,2020-04-17T02:50:11.199Z,2020-09-04T02:50:11.199Z
S005,RetailMart Ahmedabad,Ahmedabad,Gujarat,West,Harsh Chanda,2015-08-18,2017-01-05T12:47:06.357Z,2017-05-10T12:47:06.357Z
S025,RetailMart Coimbatore,Coimbatore,Tamil Nadu,South,Aadi Naik,2018-11-08,2019-09-21T21:16:34.616Z,2020-09-14T21:16:34.616Z
S001,RetailMart Jaipur,Jaipur,Rajasthan,North,Yash Kapoor,2019-03-21,2019-05-08T16:37:38.260Z,2020-03-30T16:37:38.260Z
S016,RetailMart Kanpur,Kanpur,Uttar Pradesh,North,Luke Lanka,2016-04-17,2023-11-04T05:54:39.813Z,2023-12-21T05:54:39.813Z
SB104,RetailMart Coimbatore,Coimbatore,Tamil Nadu,South,Aadi Naik,2018-11-08,2019-09-21T21:16:34.616Z,2020-09-14T21:16:34.616Z
SB118,Patna Branch,Patna,Bihar,East,Dominic Kakar,2014-07-10,2014-11-16T00:00:00.000Z,2018-07-22T00:00:00.000Z
SB109,Jaipur Branch,Jaipur,Rajasthan,North,Oni Kannan,2012-10-05,2015-09-26T00:00:00.000Z,2022-03-30T00:00:00.000Z
SB103,RetailMart Jaipur,Jaipur,Rajasthan,North,Yash Kapoor,2019-03-21,2019-05-08T16:37:38.260Z,2020-03-30T16:37:38.260Z
SB106,RetailMart Chennai,Chennai,Tamil Nadu,South,Janya Gaba,2021-12-10,2022-12-06T19:58:47.695Z,2023-09-11T19:58:47.695Z
SB114,Mumbai Branch,Mumbai,Maharashtra,West,Fariq Kaul,2020-09-14,2020-12-04T00:00:00.000Z,2022-03-16T00:00:00.000Z
SB117,Chandigarh Branch,Chandigarh,Chandigarh,North,Ekta Bhalla,2021-01-08,2021-10-04T00:00:00.000Z,2023-07-29T00:00:00.000Z
SB113,Pune Branch,Pune,Maharashtra,West,Janaki Handa,2013-03-02,2024-07-31T00:00:00.000Z,2024-09-25T00:00:00.000Z
SB102,RetailMart Indore,Indore,Madhya Pradesh,Central,Priya Rastogi,2013-03-21,2021-08-28T16:06:12.886Z,2021-12-17T16:06:12.886Z
SB108,Delhi Branch,Delhi,Delhi,North,Azad Balan,2020-05-04,2024-12-25T00:00:00.000Z,2025-02-12T00:00:00.000Z
SB115,Patna Branch,Patna,Bihar,East,Nicholas Prabhakar,2022-10-23,2023-11-06T00:00:00.000Z,2025-01-26T00:00:00.000Z
SB105,RetailMart Kolkata,Kolkata,West Bengal,East,Ladli Madan,2017-12-15,2019-07-27T11:22:34.224Z,2020-05-24T11:22:34.224Z
SB112,Pune Branch,Pune,Maharashtra,West,Tripti Yadav,2012-10-20,2023-08-08T00:00:00.000Z,2025-05-18T00:00:00.000Z
SB116,Delhi Branch,Delhi,Delhi,North,Onveer Walla,2016-02-29,2022-06-13T00:00:00.000Z,2025-04-28T00:00:00.000Z
SB101,RetailMart Hyderabad,Hyderabad,Telangana,South,Fariq Kaul,2012-02-04,2014-12-06T16:20:10.435Z,2015-11-17T16:20:10.435Z
SB110,Patna Branch,Patna,Bihar,East,Pahal Oak,2017-05-20,2019-08-27T00:00:00.000Z,2025-08-23T00:00:00.000Z
SB111,Ahmedabad Branch,Ahmedabad,Gujarat,West,George Rai,2015-02-27,2017-05-23T00:00:00.000Z,2024-05-19T00:00:00.000Z
SB107,Chandigarh Branch,Chandigarh,Chandigarh,North,Unknown,2019-11-09,2019-12-30T00:00:00.000Z,2021-10-18T00:00:00.000Z
