customer_name,total_sales,rank_no
"Sean Miller",25043.07,1
"Tamara Chand",19017.85,2
"Raymond Buch",15117.35,3
"Tom Ashbrook",14595.62,4
"Adrian Barton",14355.61,5
"Sanjit Chand",14142.34,6
"Ken Lonsdale",14071.92,7
"Hunter Lopez",12873.30,8
"Sanjit Engle",12209.44,9
"Christopher Conant",12129.08,10
"Todd Sumrall",11885.87,11
"Greg Tran",11820.12,12
"Becky Martin",11609.91,13
"Seth Vernon",11420.64,14
"Caroline Jumper",11079.74,15
"Clay Ludtke",10880.56,16
"Maria Etezadi",10635.92,17
"Karen Ferguson",10604.26,18
"Bill Shonely",10501.65,19
"Edward Hooks",10005.97,20
"John Lee",9403.02,21
"Grant Thornton",9351.20,22
"Helen Wasserman",9300.25,23
"Tom Boeckenhauer",9012.74,24
"Peter Fuller",8980.49,25
"Christopher Martinez",8954.01,26
"Justin Deggeller",8828.04,27
"Joe Elijah",8672.18,28
"Laura Armstrong",8631.53,29
"Daniel Raglin",8350.87,30
"Natalie Fritzler",8322.82,31
"Karen Daniels",8282.36,32
"Nick Crebassa",8241.74,33
"Keith Dawkins",8181.24,34
"Pete Kriz",8158.65,35
"Harry Marie",8148.84,36
"Sean Braxton",8057.89,37
"Zuschuss Carroll",8021.13,38
"Joseph Holt",7954.99,39
"Nora Preis",7903.18,40
"Anna Häberlin",7888.30,41
"Jim Epp",7754.97,42
"Adam Bellavance",7732.68,43
"Jane Waco",7721.71,44
"John Murray",7625.07,45
"Rick Wilson",7397.40,46
"Lena Creighton",7396.78,47
"Patrick O'Brill",7367.34,48
"Brian Moss",7283.81,49
"Natalie Webber",7234.02,50
"Dean percer",7198.77,51
"Paul Prost",7075.92,52
"Rick Huthwaite",6962.14,53
"Maribeth Schnelling",6848.30,54
"Penelope Sewall",6843.63,55
"Brenda Bowman",6765.73,56
"Fred Hopkins",6683.66,57
"Yana Sorensen",6654.50,58
"Andy Reiter",6608.45,59
"Grace Kelly",6497.28,60
"Joseph Airdo",6475.48,61
"Nathan Mautz",6459.34,62
"Jonathan Doherty",6456.46,63
"Sarah Brown",6411.00,64
"Joel Eaton",6400.45,65
"James Galang",6366.40,66
"Corinna Mitchell",6339.56,67
"Valerie Dominguez",6283.36,68
"Max Jones",6282.23,69
"Brosina Hoffman",6255.34,70
"Darrin Martin",6247.36,71
"Dan Reichenbach",6247.20,72
"Rob Lucas",6234.91,73
"Victoria Wilson",6112.70,74
"Quincy Jones",6108.34,75
"Alan Dominguez",6101.00,76
"Greg Maxwell",6049.96,77
"Cassandra Brandow",6028.24,78
"William Brown",6024.81,79
"Robert Marley",5967.73,80
"Keith Herrera",5952.86,81
"Shirley Daniels",5920.24,82
"Ben Ferrer",5907.97,83
"Shahid Collister",5894.18,84
"Christine Phan",5888.30,85
"Kristen Hastings",5867.85,86
"Cindy Stewart",5690.07,87
"Bill Donatelli",5672.18,88
"Anne McFarland",5653.86,89
"Ross Baird",5633.31,90
"Katherine Murray",5609.74,91
"Alex Avila",5563.56,92
"Suzanne McNair",5563.40,93
"Naresj Patel",5529.62,94
"Amy Cox",5527.85,95
"Mick Hernandez",5503.09,96
"Dennis Pardue",5480.73,97
"Emily Phan",5478.06,98
"Yoseph Carroll",5454.35,99
"Stefania Perrino",5440.32,100
"Luke Weiss",5420.52,101
"Thomas Seio",5371.11,102
"Tonja Turnell",5364.80,103
"Mitch Webber",5341.90,104
"Tom Prescott",5328.98,105
"Dianna Wilson",5256.85,106
"Mitch Willingham",5253.88,107
"Harold Ryan",5248.80,108
"Steven Cartwright",5226.20,109
"Tamara Willingham",5164.62,110
"Cathy Prescott",5164.10,111
"Lena Radford",5142.89,112
"Resi Pölking",5142.12,113
"Mike Pelletier",5087.93,114
"Ivan Liston",5040.74,115
"Dave Hallsten",4932.87,116
"Irene Maddox",4930.49,117
"Ted Trevino",4915.59,118
"Kunst Miller",4909.47,119
"Philisse Overcash",4893.05,120
"Heather Kirkland",4877.80,121
"Anthony Jacobs",4867.34,122
"Alan Hwang",4805.35,123
"Russell Applegate",4781.35,124
"Joe Kamberova",4769.91,125
"Jim Kriz",4752.45,126
"Bart Watters",4750.36,127
"Tracy Blumstein",4730.62,128
"Sue Ann Reed",4708.52,129
"Laurel Beltran",4704.31,130
"Erin Smith",4648.52,131
"Kean Thornton",4642.10,132
"Sample Company A",4624.57,133
"Deborah Brumfield",4621.66,134
"Giulietta Baptist",4594.34,135
