customer_name,highest_order_value
"Claire Gute",731.94
"Darrin Van Huff",721.88
"Sean O'Donnell",957.58
"Brosina Hoffman",1706.18
"Andrew Allen",479.97
"Irene Maddox",1819.86
"Harold Pawlan",1242.90
"Pete Kriz",4305.55
"Alejandro Grove",1336.44
"Zuschuss Donatelli",823.96
"Ken Black",1013.83
"Sandra Flanagan",254.90
"Emily Burns",1044.63
"Eric Hoffmann",100.70
"Tracy Blumstein",3083.43
"Matt Abelman",799.98
"Gene Hale",1097.54
"Steve Nguyen",532.40
"Linda Cazamias",2396.40
"Ruben Ausman",1215.92
"Erin Smith",1319.80
"Odella Nelson",630.02
"Patrick O'Donnell",604.75
"Lena Hernandez",638.82
"Darren Powers",368.91
"Janet Molinari",1029.95
"Ted Butterfield",319.41
"Kunst Miller",979.95
"Paul Stevenson",359.32
"Brendan Sweed",1113.02
"Karen Daniels",4899.93
"Henry MacAllister",503.96
"Joel Eaton",2453.43
"Ken Brennan",629.95
"Stewart Carmichael",718.12
"Duane Noonan",842.72
"Julie Creighton",292.27
"Christopher Schild",743.99
"Paul Gonzalez",503.96
"Gary Mitchum",824.95
"Jim Sink",389.06
"Karl Braun",479.98
"Roger Barcio",1079.85
"Parhena Norris",563.94
"Katherine Ducich",861.76
"Elpida Rittenbach",876.30
"Rick Bensley",1049.20
"Gary Zandusky",971.50
"Lena Cacioppo",339.96
"Janet Martin",908.82
"Pete Armstrong",339.96
"Cynthia Voltz",856.66
"Clay Ludtke",2548.56
"Ryan Crowe",275.49
"Dave Kipp",959.98
"Greg Guthrie",435.17
"Steven Cartwright",1114.40
"Alan Dominguez",2999.95
"Philip Fox",1266.86
"Troy Staebel",1212.96
"Lindsay Shagiari",1049.20
"Dorothy Wardle",482.94
"Lena Creighton",3050.38
"Jonathan Doherty",2104.55
"Sally Hughsby",424.96
"Sandra Glassco",1295.84
"Helen Andreada",671.93
"Maureen Gastineau",1497.67
"Justin Ellison",1951.84
"Tamara Willingham",2003.92
"Stephanie Phelps",279.96
"Neil Knudson",284.08
"Dave Brooks",1322.93
"Nora Paige",2154.90
"Ted Trevino",2404.70
"Eric Murdock",572.80
"Ruben Dartt",862.34
"Max Jones",4476.80
"Becky Martin",8159.95
"Chad Sievert",340.14
"Jennifer Braxton",387.99
"Shirley Jackson",751.92
"Jim Kriz",2395.20
"David Kendrick",408.74
"Robert Marley",2879.95
"Sally Knutson",629.96
"Frank Merwin",1499.97
"Alice McCarthy",239.97
"Mark Packer",899.14
"Mary Zewe",2033.58
"Cassandra Brandow",999.43
"Valerie Mitchum",1294.75
"Fred Hopkins",3149.93
"Maria Bertelson",408.01
"Bruce Stewart",779.80
"Logan Currie",1071.00
"Heather Kirkland",2399.96
"Laurel Elliston",641.96
"Joseph Holt",4297.64
"Michael Stewart",255.97
"Victoria Wilson",1247.64
"Jonathan Howell",302.38
"Joni Blumstein",479.99
"David Smith",622.45
"Valerie Dominguez",1399.93
"Erin Ashbrook",599.99
"David Bremer",1548.99
"Ken Lonsdale",8187.65
"Dianna Wilson",2001.86
"Logan Haushalter",338.04
"Kelly Collister",3347.37
"Delfina Latchford",361.92
"Dan Reichenbach",899.91
"Craig Carreira",917.92
"Dorris liebe",658.75
"Sean Braxton",3059.98
"Roy Collins",328.22
"Alan Hwang",1577.94
"Claudia Bergmann",1564.29
"Christine Abelman",481.32
"Kristen Hastings",3499.93
"Barry Blumstein",344.70
"Andrew Gjertsen",516.96
"Jas O'Carroll",1038.84
"Alan Haines",961.48
"Nick Zandusky",838.38
"Kelly Lampkin",1359.96
"Alan Schoenberger",1394.95
"Corey Roper",289.20
"Shahid Hopkins",945.04
"Ben Peterman",1119.89
"Thomas Seio",2239.94
"Andy Gerbode",559.71
"Sung Pak",1684.75
"Nathan Mautz",3991.98
"Frank Atkinson",859.20
"Grace Kelly",2575.94
"Don Jones",1603.14
"Patrick O'Brill",4367.90
"John Lucas",1119.98
"Doug Bickford",959.98
"Alyssa Crouse",698.35
"Clay Cheatham",47.98
"Tamara Dahlen",1013.49
"Adam Bellavance",4355.17
"Jeremy Lonsdale",1473.10
"Victoria Brennan",756.80
"Katrina Willman",3080.00
"Julia Dunbar",221.16
"Michael Kennedy",1043.92
"Guy Thornton",61.06
"Arthur Gainer",1023.94
"Muhammed MacIntyre",207.98
