customer_id,customer_name
C0203,"Ryan Das"
C0031,"Dakshesh Trivedi"
C0147,"Inaya Pillai"
C0457,"Nisha Sastry"
C0042,"Harshil Pandya"
C0335,"Tanmayi Acharya"
C0271,"Mekhala Khatri"
C0153,"Indrajit Mander"
C0142,"Odika Nori"
C0415,"Vedant Desai"
C0106,"Aarnav Mandal"
C0345,"Charvi Jha"
C0225,"Maanas Issac"
C0258,"Joshua Kapoor"
C0155,"Laksh Kumer"
C0212,"Yadavi Ganguly"
C0321,"Robert Rajagopalan"
C0483,"Elijah Nadkarni"
C0357,"Advik Konda"
C0387,"Ekiya Bhargava"
C0440,"Oliver Bhattacharyya"
C0138,"Charvi Shanker"
C0109,"Lakshmi Raju"
C0263,"Eiravati Nagi"
C0101,"Karan Mani"
C0495,"Laban Raman"
C0018,"Frederick Sunder"
C0327,"Noah Dewan"
C0208,"Shivani Shukla"
C0360,"Deepa Narang"
C0290,"Ishani Prashad"
C0118,"Ethan Sathe"
C0493,"Chakradev Bora"
C0170,"Libni Mander"
C0252,"Jackson Jha"
C0152,"Vedika Sathe"
C0079,"Girik Menon"
C0221,"Baghyawati Talwar"
C0014,"Ishwar Yadav"
C0293,"Harsh Deo"
C0223,"Robert Patil"
C0129,"Lipika Setty"
C0486,"Yagnesh Baral"
C0226,"Laksh Nath"
C0167,"David Seshadri"
C0059,"Shivani Lad"
C0350,"Michael Mall"
C0230,"Manbir Kibe"
C0019,"Alka Wable"
C0078,"Niharika Suresh"
C0213,"Ayush Bumb"
C0160,"Farhan Randhawa"
C0179,"Zashil Ben"
C0035,"Ethan Yogi"
C0435,"Nimrat Shankar"
C0265,"Eiravati Saha"
C0491,"Zayan Bobal"
C0328,"Om Naik"
C0143,"Prisha Munshi"
C0301,"Xavier Nanda"
C0303,"Nilima Tata"
C0157,"Brijesh Sarin"
C0318,"Kashvi Dhaliwal"
C0017,"Isaac Patil"
C0278,"Vihaan Bir"
C0112,"Falguni Walla"
C0416,"Gaurav Guha"
C0085,"Harini Gour"
C0292,"Edhitha Patel"
C0166,"Turvi Barman"
C0444,"Chanakya Chokshi"
C0073,"Advik Salvi"
C0487,"Aryan Varughese"
C0024,"Ranveer Chandra"
C0064,"Vinaya Kanda"
C0336,"Nathan Mahal"
C0040,"Prisha Andra"
C0245,"Prisha Varma"
C0329,"Krishna Sabharwal"
C0322,"Sachi Suresh"
C0441,"Radha Desai"
C0302,"Pranit Bala"
C0217,"Eiravati Khurana"
C0201,"Arya Krish"
C0358,"Udarsh Nagy"
C0126,"Adweta Raj"
C0312,"Nitesh Kohli"
C0007,"Lajita Mall"
C0395,"Harrison Srinivas"
C0255,"Hemangini Bhatt"
C0346,"Wriddhish Talwar"
C0023,"Tanish Zacharia"
C0187,"Wridesh Saha"
C0423,"Yochana Bahri"
C0092,"Darpan Gandhi"
C0189,"Ishanvi Bir"
C0390,"Chaitaly Datta"
C0120,"Anthony Randhawa"
C0498,"Rishi Contractor"
C0032,"Netra Dar"
C0400,"Maya Swaminathan"
C0494,"Baghyawati Sarma"
C0021,"Umang Bhatt"
C0365,"Zinal Sachar"
C0347,"Jalsa Nadig"
C0049,"Rajata Agarwal"
C0102,"Nathan Mukhopadhyay"
C0464,"Yashoda Jhaveri"
C0421,"Hemangini Gade"
C0229,"Avi Som"
C0330,"Yug Ramaswamy"
C0196,"Chaaya Nagi"
C0177,"Vivaan Walla"
C0015,"Aarush Lall"
C0159,"Janaki Chakrabarti"
C0309,"Frederick Dâ€™Alia"
C0076,"Ladli Nayar"
C0052,"Nidra Acharya"
C0363,"Gautami Agarwal"
C0115,"Jagrati Prasad"
C0094,"Rachana Naidu"
C0132,"Jason Sha"
C0452,"Jagvi Munshi"
C0404,"Upkaar Luthra"
C0455,"Oviya Ganesan"
C0174,"Upkaar Devan"
C0028,"Vasana Kala"
C0002,"Tejas Kaul"
C0243,"Krish Thaman"
C0343,"Teerth Chadha"
C0133,"Jeremiah Jha"
C0268,"Shivani Prabhakar"
C0450,"Manthan Chana"
C0317,"Chameli Chad"
C0374,"Kalpit Hora"
C0445,"Lajita Dasgupta"
C0141,"Yashasvi Sani"
C0439,"Aayush Kothari"
C0334,"Hemal Bava"
C0467,"Chakradev Gala"
C0077,"Harini Mammen"
C0207,"Varenya Vora"
C0238,"Xavier Bedi"
C0484,"Netra Chanda"
C0210,"Nitesh Edwin"
C0162,"Aahana Hora"
C0171,"Inaya Mukherjee"
C0315,"Harsh Yadav"
C0373,"Girindra Shere"
C0176,"Raksha Bassi"
C0259,"Ladli Karpe"
C0449,"Vasana Narayanan"
C0305,"Balhaar Parsa"
C0354,"Amruta Dalal"
C0369,"Shivani Shukla"
C0184,"Fariq Bahl"
C0379,"Gagan Mammen"
C0140,"Dominic Date"
C0333,"Siddharth Talwar"
C0411,"Hitesh Chaudhuri"
C0399,"Samesh Gupta"
C0247,"Chasmum Apte"
C0228,"Chandani Soman"
C0072,"Jai Barman"
C0131,"Warinder Patil"
C0388,"Kashvi Randhawa"
C0396,"Chaitaly Bahri"
C0071,"Devika Prashad"
C0432,"Udant Mohanty"
C0280,"Anvi Wason"
C0428,"Netra Nagarajan"
C0294,"Harshil Bal"
C0093,"Neha Magar"
C0237,"Varenya Kala"
C0003,"Arunima Ahuja"
C0297,"Oviya Mistry"
C0188,"Madhavi Singhal"
C0481,"Aishani De"
C0465,"Suhani Narula"
C0193,"Bhavika Parikh"
C0181,"Ikshita Bala"
C0004,"Tanveer Nayar"
C0081,"Jai Hans"
C0323,"Umang Yogi"
C0111,"Mohammed Borde"
C0113,"Wahab Mani"
C0306,"Ojas Basu"
C0424,"Abhiram Kapur"
C0048,"Dipta Sarin"
C0218,"Bina Rajagopalan"
C0061,"Michael Kala"
C0397,"Naveen Borde"
C0261,"Bahadurjit Sekhon"
C0046,"Arya Panchal"
C0477,"Jagrati Sethi"
C0417,"Daksh Varma"
C0349,"Darpan Rao"
C0060,"Bhavika Keer"
C0410,"Advik Virk"
C0205,"Janaki Trivedi"
C0080,"Pavani Narayanan"
C0178,"Triya Manda"
C0186,"Amol Varma"
C0438,"Aayush Barad"
C0011,"Luke Lanka"
C0065,"Noah Sibal"
C0135,"Imaran Bal"
C0281,"Gopal Viswanathan"
C0224,"Jagat Dave"
C0029,"Alka Sha"
C0063,"Vansha Ahuja"
C0127,"Timothy Bhatnagar"
C0480,"Falan Grover"
C0121,"Theodore Gupta"
C0298,"Rohan Shankar"
C0352,"Radha Dâ€™Alia"
C0183,"Bhavini Sodhi"
C0370,"Darika Sheth"
C0145,"Jason Roy"
C0337,"Charles Randhawa"
C0384,"Jagrati Bala"
C0262,"Vivaan Zacharia"
C0180,"Naveen Mahajan"
C0351,"Mahika Bhatti"
C0105,"Ekaraj Majumdar"
C0319,"Quincy Sur"
C0460,"Warhi Gandhi"
C0169,"Nilima Nigam"
C0353,"Laksh Apte"
C0466,"Gunbir Kapadia"
C0119,"Leena Subramanian"
C0202,"Jacob Lala"
C0266,"Umang Mital"
C0463,"Andrew Chauhan"
C0233,"Tripti Walia"
C0158,"Omisha Mann"
C0083,"Praneel Mittal"
C0013,"Pahal Bhatt"
C0473,"Dipta Kalla"
C0398,"Raagini Gala"
C0055,"Yash Soman"
C0361,"Daksha Kibe"
C0499,"Zashil Chaudhari"
C0234,"Arya Misra"
C0206,"Jalsa Pillay"
C0304,"Krishna Borah"
C0254,"Anthony Randhawa"
C0256,"Nilima Gole"
C0211,"Zashil Hegde"
C0027,"Chandresh Zachariah"
C0380,"Anirudh Raja"
C0249,"Theodore Deol"
C0044,"Lavanya Barad"
C0348,"Urishilla Bora"
C0394,"Raksha Saini"
C0367,"Advika Murty"
C0482,"Balveer Dube"
C0088,"Darpan Chaudhary"
C0219,"Ranveer Dutta"
C0429,"Nidhi Rama"
C0087,"Upkaar Virk"
C0474,"Jack Pandey"
C0214,"Widisha Mann"
C0123,"Parth Iyer"
C0172,"Dayita Puri"
C0168,"Raksha Sarna"
C0241,"Baljiwan Gill"
C0009,"Theodore Nair"
C0407,"Jai Sen"
C0057,"Patrick Vasa"
C0148,"Amara Balakrishnan"
C0342,"Nitesh Sarraf"
C0478,"Champak Raj"
C0149,"Nandini Boase"
C0100,"Odika Bhagat"
